2026-05-07T08:10:23+0800 [INFO] 开始质量评分
2026-05-07T08:10:23+0800 [DEBUG] [1/610] 2026-04-21-ai-agents-for-beginners.json: 等级 B, 分数 79/100
2026-05-07T08:10:23+0800 [DEBUG] [24/610] 2026-04-21-transformers.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [25/610] 2026-04-21-trendradar.json: 等级 B, 分数 79/100
2026-05-07T08:10:23+0800 [DEBUG] [26/610] 2026-04-22-ai-agents-for-beginners.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [27/610] 2026-04-22-ai-guide.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [28/610] 2026-04-22-archon.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [29/610] 2026-04-22-autogpt.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [30/610] 2026-04-22-browser-harness.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [31/610] 2026-04-22-claude-context.json: 等级 A, 分数 90/100
2026-05-07T08:10:23+0800 [DEBUG] [32/610] 2026-04-22-deepagents.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [33/610] 2026-04-22-deer-flow.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [34/610] 2026-04-22-everything-claude-code.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [35/610] 2026-04-22-finceptterminal.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [36/610] 2026-04-22-goclaw.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [37/610] 2026-04-22-harness.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [38/610] 2026-04-22-hive.json: 等级 A, 分数 83/100
2026-05-07T08:10:23+0800 [DEBUG] [39/610] 2026-04-22-impeccable.json: 等级 B, 分数 72/100
2026-05-07T08:10:23+0800 [DEBUG] [40/610] 2026-04-22-lobehub.json: 等级 A, 分数 81/100
2026-05-07T08:10:23+0800 [DEBUG] [41/610] 2026-04-22-nexent.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [42/610] 2026-04-22-oh-my-openagent.json: 等级 A, 分数 94/100
2026-05-07T08:10:23+0800 [DEBUG] [43/610] 2026-04-22-oh-my-pi.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [44/610] 2026-04-22-openclaw.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [45/610] 2026-04-22-openharness.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [46/610] 2026-04-22-osaurus.json: 等级 A, 分数 91/100
2026-05-07T08:10:23+0800 [DEBUG] [47/610] 2026-04-22-parlant.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [48/610] 2026-04-22-ragflow.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [49/610] 2026-04-22-thunderbolt.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [50/610] 2026-04-22-trellis.json: 等级 A, 分数 81/100
2026-05-07T08:10:23+0800 [DEBUG] [51/610] 2026-04-22-trendradar.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [52/610] 2026-04-22-yuxi.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [53/610] 2026-04-23-a-roblox-cheat-and-one-ai-tool-brought-down-vercel-s-platform.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [54/610] 2026-04-23-ai-guide.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [55/610] 2026-04-23-ai-resistance-some-recent-anti-ai-stuff-that-s-worth-discussing.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [56/610] 2026-04-23-anker-made-its-own-chip-to-bring-ai-to-all-its-products.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [57/610] 2026-04-23-archon.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [58/610] 2026-04-23-autogpt.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [59/610] 2026-04-23-bring-your-agent-to-teams.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [60/610] 2026-04-23-browser-harness.json: 等级 A, 分数 89/100
2026-05-07T08:10:23+0800 [DEBUG] [61/610] 2026-04-23-claude-code.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [62/610] 2026-04-23-claude-context.json: 等级 A, 分数 94/100
2026-05-07T08:10:23+0800 [DEBUG] [63/610] 2026-04-23-comfyui.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [64/610] 2026-04-23-crabtrap-an-llm-as-a-judge-http-proxy-to-secure-agents-in-production.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [65/610] 2026-04-23-deepagents.json: 等级 A, 分数 92/100
2026-05-07T08:10:23+0800 [DEBUG] [66/610] 2026-04-23-deer-flow.json: 等级 A, 分数 85/100
2026-05-07T08:10:23+0800 [DEBUG] [67/610] 2026-04-23-dify.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [68/610] 2026-04-23-everything-claude-code.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [69/610] 2026-04-23-finceptterminal.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [70/610] 2026-04-23-firecrawl.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [71/610] 2026-04-23-generative-ai-for-beginners.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [72/610] 2026-04-23-goclaw.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [73/610] 2026-04-23-harness.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [74/610] 2026-04-23-hermes-agent.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [75/610] 2026-04-23-hive.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [76/610] 2026-04-23-impeccable.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [77/610] 2026-04-23-javaguide.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [78/610] 2026-04-23-kernel-code-removals-driven-by-llm-created-security-reports.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [79/610] 2026-04-23-kuri-zig-based-agent-browser-alternative.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [80/610] 2026-04-23-langchain.json: 等级 A, 分数 94/100
2026-05-07T08:10:23+0800 [DEBUG] [81/610] 2026-04-23-langflow.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [82/610] 2026-04-23-langfuse.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [83/610] 2026-04-23-lobehub.json: 等级 A, 分数 89/100
2026-05-07T08:10:23+0800 [DEBUG] [84/610] 2026-04-23-meta-employees-are-up-in-arms-over-a-mandatory-program-to-train-ai-on-their.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [85/610] 2026-04-23-meta-to-start-capturing-employee-mouse-movement-keystrokes-for-ai-training-data.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [86/610] 2026-04-23-meta-to-start-capturing-employee-mouse-movements-keystrokes-for-ai-training.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [87/610] 2026-04-23-n8n.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [88/610] 2026-04-23-nexent.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [89/610] 2026-04-23-oh-my-openagent.json: 等级 A, 分数 91/100
2026-05-07T08:10:23+0800 [DEBUG] [90/610] 2026-04-23-oh-my-pi.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [91/610] 2026-04-23-ollama.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [92/610] 2026-04-23-open-webui.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [93/610] 2026-04-23-openclaw.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [94/610] 2026-04-23-opencode.json: 等级 A, 分数 85/100
2026-05-07T08:10:23+0800 [DEBUG] [95/610] 2026-04-23-openharness.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [96/610] 2026-04-23-openmetadata.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [97/610] 2026-04-23-osaurus.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [98/610] 2026-04-23-parlant.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [99/610] 2026-04-23-peter-thiel-is-building-a-parallel-justice-system-powered-by-ai.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [100/610] 2026-04-23-pixelle-video.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [101/610] 2026-04-23-prompts-chat.json: 等级 A, 分数 90/100
2026-05-07T08:10:23+0800 [DEBUG] [102/610] 2026-04-23-ragflow.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [103/610] 2026-04-23-scammer-used-an-ai-generated-maga-girl-to-grift-men.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [104/610] 2026-04-23-scoring-show-hn-submissions-for-ai-design-patterns.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [105/610] 2026-04-23-shannon.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [106/610] 2026-04-23-show-hn-broccoli-one-shot-coding-agent-on-the-cloud.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [107/610] 2026-04-23-show-hn-gomodel-an-open-source-ai-gateway-in-go.json: 等级 A, 分数 92/100
2026-05-07T08:10:23+0800 [DEBUG] [108/610] 2026-04-23-skills.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [109/610] 2026-04-23-startups-brag-they-spend-more-money-on-ai-than-human-employees.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [110/610] 2026-04-23-system-prompts-and-models-of-ai-tools.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [111/610] 2026-04-23-tell-hn-i-m-sick-of-ai-everything.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [112/610] 2026-04-23-top-maga-influencer-revealed-to-be-ai.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [113/610] 2026-04-23-transformers.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [114/610] 2026-04-23-trellis.json: 等级 A, 分数 90/100
2026-05-07T08:10:23+0800 [DEBUG] [115/610] 2026-04-23-trendradar.json: 等级 B, 分数 79/100
2026-05-07T08:10:23+0800 [DEBUG] [116/610] 2026-04-23-worldmonitor.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [117/610] 2026-04-23-yuxi.json: 等级 A, 分数 92/100
2026-05-07T08:10:23+0800 [DEBUG] [118/610] 2026-04-24-andrej-karpathy-skills.json: 等级 B, 分数 75/100
2026-05-07T08:10:23+0800 [DEBUG] [119/610] 2026-04-24-anker-made-its-own-chip-to-bring-ai-to-all-its-products.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [120/610] 2026-04-24-ansible.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [121/610] 2026-04-24-autogpt.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [122/610] 2026-04-24-awesome-llm-apps.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [123/610] 2026-04-24-awesome-mcp-servers.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [124/610] 2026-04-24-bring-your-agent-to-teams.json: 等级 A, 分数 87/100
2026-05-07T08:10:23+0800 [DEBUG] [125/610] 2026-04-24-browser-use.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [126/610] 2026-04-24-claude-code.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [127/610] 2026-04-24-claude-mem.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [128/610] 2026-04-24-codex.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [129/610] 2026-04-24-comfyui.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [130/610] 2026-04-24-crabtrap-an-llm-as-a-judge-http-proxy-to-secure-agents-in-production.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [131/610] 2026-04-24-daytona.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [132/610] 2026-04-24-deep-live-cam.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [133/610] 2026-04-24-dify.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [134/610] 2026-04-24-everything-claude-code.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [135/610] 2026-04-24-firecrawl.json: 等级 B, 分数 77/100
2026-05-07T08:10:23+0800 [DEBUG] [136/610] 2026-04-24-gemini-cli.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [137/610] 2026-04-24-generative-ai-for-beginners.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [138/610] 2026-04-24-hermes-agent.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [139/610] 2026-04-24-javaguide.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [140/610] 2026-04-24-kernel-code-removals-driven-by-llm-created-security-reports.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [141/610] 2026-04-24-kuri-zig-based-agent-browser-alternative.json: 等级 B, 分数 75/100
2026-05-07T08:10:23+0800 [DEBUG] [142/610] 2026-04-24-langchain.json: 等级 A, 分数 92/100
2026-05-07T08:10:23+0800 [DEBUG] [143/610] 2026-04-24-langflow.json: 等级 A, 分数 83/100
2026-05-07T08:10:23+0800 [DEBUG] [144/610] 2026-04-24-less-human-ai-agents-please.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [145/610] 2026-04-24-llama-cpp.json: 等级 A, 分数 90/100
2026-05-07T08:10:23+0800 [DEBUG] [146/610] 2026-04-24-llamafactory.json: 等级 A, 分数 92/100
2026-05-07T08:10:23+0800 [DEBUG] [147/610] 2026-04-24-lobehub.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [148/610] 2026-04-24-meshcore-development-team-splits-over-trademark-dispute-and-ai-generated-code.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [149/610] 2026-04-24-meta-employees-are-up-in-arms-over-a-mandatory-program-to-train-ai-on-their.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [150/610] 2026-04-24-meta-to-start-capturing-employee-mouse-movement-keystrokes-for-ai-training-data.json: 等级 B, 分数 75/100
2026-05-07T08:10:23+0800 [DEBUG] [151/610] 2026-04-24-meta-to-start-capturing-employee-mouse-movements-keystrokes-for-ai-training.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [152/610] 2026-04-24-n8n.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [153/610] 2026-04-24-netdata.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [154/610] 2026-04-24-ollama.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [155/610] 2026-04-24-open-webui.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [156/610] 2026-04-24-openclaw.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [157/610] 2026-04-24-opencode.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [158/610] 2026-04-24-openhands.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [159/610] 2026-04-24-our-newsroom-ai-policy.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [160/610] 2026-04-24-paddleocr.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [161/610] 2026-04-24-prompts-chat.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [162/610] 2026-04-24-ragflow.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [163/610] 2026-04-24-scammer-used-an-ai-generated-maga-girl-to-grift-men.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [164/610] 2026-04-24-scoring-show-hn-submissions-for-ai-design-patterns.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [165/610] 2026-04-24-show-hn-agent-vault-open-source-credential-proxy-and-vault-for-agents.json: 等级 A, 分数 85/100
2026-05-07T08:10:23+0800 [DEBUG] [166/610] 2026-04-24-show-hn-broccoli-one-shot-coding-agent-on-the-cloud.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [167/610] 2026-04-24-show-hn-gomodel-an-open-source-ai-gateway-in-go.json: 等级 A, 分数 89/100
2026-05-07T08:10:23+0800 [DEBUG] [168/610] 2026-04-24-skills.json: 等级 B, 分数 77/100
2026-05-07T08:10:23+0800 [DEBUG] [169/610] 2026-04-24-spec-kit.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [170/610] 2026-04-24-startups-brag-they-spend-more-money-on-ai-than-human-employees.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [171/610] 2026-04-24-supabase.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [172/610] 2026-04-24-superpowers.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [173/610] 2026-04-24-top-maga-influencer-revealed-to-be-ai.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [174/610] 2026-04-24-transformers.json: 等级 A, 分数 91/100
2026-05-07T08:10:23+0800 [DEBUG] [175/610] 2026-04-24-vllm.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [176/610] 2026-04-25-andrej-karpathy-skills.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [177/610] 2026-04-25-anker-made-its-own-chip-to-bring-ai-to-all-its-products.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [178/610] 2026-04-25-ansible.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [179/610] 2026-04-25-appflowy.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [180/610] 2026-04-25-autogpt.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [181/610] 2026-04-25-awesome-llm-apps.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [182/610] 2026-04-25-awesome-mcp-servers.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [183/610] 2026-04-25-bring-your-agent-to-teams.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [184/610] 2026-04-25-browser-use.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [185/610] 2026-04-25-claude-code.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [186/610] 2026-04-25-codex.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [187/610] 2026-04-25-comfyui.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [188/610] 2026-04-25-daytona.json: 等级 A, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [189/610] 2026-04-25-deep-live-cam.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [190/610] 2026-04-25-dify.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [191/610] 2026-04-25-do-you-want-the-us-to-win-ai.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [192/610] 2026-04-25-everything-claude-code.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [193/610] 2026-04-25-firecrawl.json: 等级 B, 分数 79/100
2026-05-07T08:10:23+0800 [DEBUG] [194/610] 2026-04-25-gemini-cli.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [195/610] 2026-04-25-generative-ai-for-beginners.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [196/610] 2026-04-25-hear-your-agent-suffer-through-your-code.json: 等级 B, 分数 75/100
2026-05-07T08:10:23+0800 [DEBUG] [197/610] 2026-04-25-hermes-agent.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [198/610] 2026-04-25-javaguide.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [199/610] 2026-04-25-kernel-code-removals-driven-by-llm-created-security-reports.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [200/610] 2026-04-25-kuri-zig-based-agent-browser-alternative.json: 等级 B, 分数 75/100
2026-05-07T08:10:23+0800 [DEBUG] [201/610] 2026-04-25-langchain.json: 等级 A, 分数 94/100
2026-05-07T08:10:23+0800 [DEBUG] [202/610] 2026-04-25-langflow.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [203/610] 2026-04-25-llama-cpp.json: 等级 A, 分数 88/100
2026-05-07T08:10:23+0800 [DEBUG] [204/610] 2026-04-25-llamafactory.json: 等级 A, 分数 90/100
2026-05-07T08:10:23+0800 [DEBUG] [205/610] 2026-04-25-lobehub.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [206/610] 2026-04-25-meshcore-development-team-splits-over-trademark-dispute-and-ai-generated-code.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [207/610] 2026-04-25-meta-employees-are-up-in-arms-over-a-mandatory-program-to-train-ai-on-their.json: 等级 B, 分数 75/100
2026-05-07T08:10:23+0800 [DEBUG] [208/610] 2026-04-25-meta-to-start-capturing-employee-mouse-movements-keystrokes-for-ai-training.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [209/610] 2026-04-25-n8n.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [210/610] 2026-04-25-netdata.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [211/610] 2026-04-25-ollama.json: 等级 A, 分数 87/100
2026-05-07T08:10:23+0800 [DEBUG] [212/610] 2026-04-25-open-webui.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [213/610] 2026-04-25-openclaw.json: 等级 B, 分数 73/100
2026-05-07T08:10:23+0800 [DEBUG] [214/610] 2026-04-25-opencode.json: 等级 B, 分数 78/100
2026-05-07T08:10:23+0800 [DEBUG] [215/610] 2026-04-25-openhands.json: 等级 B, 分数 80/100
2026-05-07T08:10:23+0800 [DEBUG] [216/610] 2026-04-25-our-newsroom-ai-policy.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [217/610] 2026-04-25-paddleocr.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [218/610] 2026-04-25-prompts-chat.json: 等级 A, 分数 84/100
2026-05-07T08:10:23+0800 [DEBUG] [219/610] 2026-04-25-ragflow.json: 等级 A, 分数 86/100
2026-05-07T08:10:23+0800 [DEBUG] [220/610] 2026-04-25-scoring-show-hn-submissions-for-ai-design-patterns.json: 等级 B, 分数 76/100
2026-05-07T08:10:23+0800 [DEBUG] [221/610] 2026-04-25-show-hn-agent-vault-open-source-credential-proxy-and-vault-for-agents.json: 等级 A, 分数 82/100
2026-05-07T08:10:23+0800 [DEBUG] [222/610] 2026-04-25-show-hn-atomic-local-first-ai-augmented-personal-knowledge-base.json: 等级 B, 分数 76/100
